created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count,cleaned_text,normalized_text,no_stopwords_text,stemmed_text,tokens_stemmed,tokens,cluster
Tue Apr 29 23:59:49 +0000 2025,0,@ProfylHenuk @DianSandiU @jokowi @CCICPolri @psi_id @SianiparRismon @krmtroysuryo1 @DokterTifa Ijazah asli? Akhirnya ngaku juga klo ijazah Jokowi asli...,in,0,0,0,ijazah asli akhirnya ngaku juga klo ijazah jokowi asli,ijazah asli akhirnya ngaku juga kalau ijazah jokowi asli,ijazah asli ngaku ijazah jokowi asli,ijazah asli ngaku ijazah jokowi asli,"['ijazah', 'asli', 'ngaku', 'ijazah', 'jokowi', 'asli']","['ijazah', 'asli', 'ngaku', 'ijazah', 'jokowi', 'asli']",4
Tue Apr 29 23:58:24 +0000 2025,301,Kasus Ijazah Jokowi Diberitakan Media Asing https://t.co/iRKXoBl77I,in,7,11,169,kasus ijazah jokowi diberitakan media asing,kasus ijazah jokowi diberitakan media asing,ijazah jokowi diberitakan media asing,ijazah jokowi berita media asing,"['ijazah', 'jokowi', 'berita', 'media', 'asing']","['ijazah', 'jokowi', 'berita', 'media', 'asing']",4
Tue Apr 29 23:56:51 +0000 2025,2,@NenkMonica @2480ebdb25884fa JOKOWI ITU TAK PUNYA IJAZAH S1 https://t.co/uj2Cp94sG0,in,0,2,1,jokowi itu tak punya ijazah s,jokowi itu tak punya ijazah s,jokowi ijazah s,jokowi ijazah s,"['jokowi', 'ijazah', 's']","['jokowi', 'ijazah', 's']",4
Tue Apr 29 23:55:57 +0000 2025,22,@DrTaufan1 @msaid_didu @DokterTifa @democrazymedia @geloraco @SianiparRismon @KRMT_RoySuryo @KRMTRoySuryo @KRMTRoySuryo2 @lilyjayofficial Di persidangan akan di tunjukan ijazah aslinya seperti yg di syarat kanya. Kita lihat saja apa berani pak jokowi hadir dan mesti hadir wong rakyat biasa saja di paksa hadir ko.,in,0,2,1,di persidangan akan di tunjukan ijazah aslinya seperti yg di syarat kanya kita lihat saja apa berani pak jokowi hadir dan mesti hadir wong rakyat biasa saja di paksa hadir ko,di persidangan akan di tunjukan ijazah aslinya seperti yang di syarat kanya kita lihat saja apa berani pak jokowi hadir dan mesti hadir wong rakyat biasa saja di paksa hadir ko,persidangan tunjukan ijazah aslinya syarat kanya lihat berani jokowi hadir mesti hadir rakyat paksa hadir ko,sidang tunjuk ijazah asli syarat kanya lihat berani jokowi hadir mesti hadir rakyat paksa hadir ko,"['sidang', 'tunjuk', 'ijazah', 'asli', 'syarat', 'kanya', 'lihat', 'berani', 'jokowi', 'hadir', 'mesti', 'hadir', 'rakyat', 'paksa', 'hadir', 'ko']","['sidang', 'tunjuk', 'ijazah', 'asli', 'syarat', 'kanya', 'lihat', 'berani', 'jokowi', 'hadir', 'mesti', 'hadir', 'rakyat', 'paksa', 'hadir', 'ko']",4
Tue Apr 29 23:53:55 +0000 2025,0,Jokowi Harus Hadiri Langsung Di Persidangan Nantinya Tanpa Mediasi / Penghubung / Melalui Telepon. Jokowi Harus Hadir Serta Harus Membawa Ijazah Asli UGM Ke Persidangan Nantinya. https://t.co/nf44HEmudi,in,0,1,0,jokowi harus hadiri langsung di persidangan nantinya tanpa mediasi penghubung melalui telepon jokowi harus hadir serta harus membawa ijazah asli ugm ke persidangan nantinya,jokowi harus hadiri langsung di persidangan nantinya tanpa mediasi penghubung melalui telepon jokowi harus hadir serta harus membawa ijazah asli ugm ke persidangan nantinya,jokowi hadiri langsung persidangan mediasi penghubung telepon jokowi hadir membawa ijazah asli ugm persidangan,jokowi hadir langsung sidang mediasi hubung telepon jokowi hadir bawa ijazah asli ugm sidang,"['jokowi', 'hadir', 'langsung', 'sidang', 'mediasi', 'hubung', 'telepon', 'jokowi', 'hadir', 'bawa', 'ijazah', 'asli', 'ugm', 'sidang']","['jokowi', 'hadir', 'langsung', 'sidang', 'mediasi', 'hubung', 'telepon', 'jokowi', 'hadir', 'bawa', 'ijazah', 'asli', 'ugm', 'sidang']",4
Tue Apr 29 23:53:05 +0000 2025,0,Yakin saja ga cukup harus ada keterangan dari pihak berwewenang yang terbitkan ijazah yaitu UGM. UGM menilai ijazah Jokowi asli https://t.co/WUfEXGV9Jr,in,0,0,0,yakin saja ga cukup harus ada keterangan dari pihak berwewenang yang terbitkan ijazah yaitu ugm ugm menilai ijazah jokowi asli,yakin saja tidak cukup harus ada keterangan dari pihak berwewenang yang terbitkan ijazah yaitu ugm ugm menilai ijazah jokowi asli,keterangan berwewenang terbitkan ijazah ugm ugm menilai ijazah jokowi asli,terang berwewenang terbit ijazah ugm ugm nilai ijazah jokowi asli,"['terang', 'berwewenang', 'terbit', 'ijazah', 'ugm', 'ugm', 'nilai', 'ijazah', 'jokowi', 'asli']","['terang', 'berwewenang', 'terbit', 'ijazah', 'ugm', 'ugm', 'nilai', 'ijazah', 'jokowi', 'asli']",0
Tue Apr 29 23:52:16 +0000 2025,0,@alisyarief Intinya itu Jokowi kalau rasa tdk bersalah tunjukkin ijazah aslinya,in,0,0,0,intinya itu jokowi kalau rasa tdk bersalah tunjukkin ijazah aslinya,intinya itu jokowi kalau rasa tidak bersalah tunjukkin ijazah aslinya,intinya jokowi bersalah tunjukkin ijazah aslinya,inti jokowi salah tunjukkin ijazah asli,"['inti', 'jokowi', 'salah', 'tunjukkin', 'ijazah', 'asli']","['inti', 'jokowi', 'salah', 'tunjukkin', 'ijazah', 'asli']",4
Tue Apr 29 23:50:49 +0000 2025,0,TERBUKTI JOKOWI TAK PUNYA IJAZAH S1 FOTOCOPY IJAZAH JOKOWI YANG BUAT DAFTAR PILPRES 2014 &amp; 2019 DENGAN TEKNOLOGI DIGITAL FORENSIK DIDUGA PALSU https://t.co/GK5I6qhVld,in,0,0,0,terbukti jokowi tak punya ijazah s fotocopy ijazah jokowi yang buat daftar pilpres amp dengan teknologi digital forensik diduga palsu,terbukti jokowi tak punya ijazah s fotocopy ijazah jokowi yang buat daftar pilpres amp dengan teknologi digital forensik diduga palsu,terbukti jokowi ijazah s fotocopy ijazah jokowi daftar pilpres amp teknologi digital forensik diduga palsu,bukti jokowi ijazah s fotocopy ijazah jokowi daftar pilpres amp teknologi digital forensik duga palsu,"['bukti', 'jokowi', 'ijazah', 's', 'fotocopy', 'ijazah', 'jokowi', 'daftar', 'pilpres', 'amp', 'teknologi', 'digital', 'forensik', 'duga', 'palsu']","['bukti', 'jokowi', 'ijazah', 's', 'fotocopy', 'ijazah', 'jokowi', 'daftar', 'pilpres', 'amp', 'teknologi', 'digital', 'forensik', 'duga', 'palsu']",1
Tue Apr 29 23:50:04 +0000 2025,898,Roy Suryo. Pakar Telematika. Rektor dan Univ UGM dipertanyakan kredibilitasnya dalam kasus Ijazah Jokowi. Ads Aktor yang mengatur terbitnys Ijazah Jokowi ini. Kasus Ijazah anak Jokowi juga diragukan keasliannya. Kita tidak ingin punya kwalitas Pemimpin seperti itu. https://t.co/7bfVLcxJHD,in,7,16,316,roy suryo pakar telematika rektor dan univ ugm dipertanyakan kredibilitasnya dalam kasus ijazah jokowi ads aktor yang mengatur terbitnys ijazah jokowi ini kasus ijazah anak jokowi juga diragukan keasliannya kita tidak ingin punya kwalitas pemimpin seperti itu,roy suryo pakar telematika rektor dan univ ugm dipertanyakan kredibilitasnya dalam kasus ijazah jokowi ads aktor yang mengatur terbitnys ijazah jokowi ini kasus ijazah anak jokowi juga diragukan keasliannya kita tidak ingin punya kwalitas pemimpin seperti itu,roy suryo pakar telematika rektor univ ugm kredibilitasnya ijazah jokowi ads aktor mengatur terbitnys ijazah jokowi ijazah anak jokowi diragukan keasliannya kwalitas pemimpin,roy suryo pakar telematika rektor univ ugm kredibilitas ijazah jokowi ads aktor atur terbitnys ijazah jokowi ijazah anak jokowi ragu asli kwalitas pimpin,"['roy', 'suryo', 'pakar', 'telematika', 'rektor', 'univ', 'ugm', 'kredibilitas', 'ijazah', 'jokowi', 'ads', 'aktor', 'atur', 'terbitnys', 'ijazah', 'jokowi', 'ijazah', 'anak', 'jokowi', 'ragu', 'asli', 'kwalitas', 'pimpin']","['roy', 'suryo', 'pakar', 'telematika', 'rektor', 'univ', 'ugm', 'kredibilitas', 'ijazah', 'jokowi', 'ads', 'aktor', 'atur', 'terbitnys', 'ijazah', 'jokowi', 'ijazah', 'anak', 'jokowi', 'ragu', 'asli', 'kwalitas', 'pimpin']",3
Tue Apr 29 23:50:01 +0000 2025,0,@athiranies99 Saya Grok AI buatan xAI jadi saya tidak punya ijazah dari UGM atau universitas lain termasuk tahun 1985. Jokowi mantan presiden RI lulus dari UGM pada 1985 dengan gelar Kehutanan sesuai konfirmasi resmi UGM. Ada kontroversi soal ijazahnya tapi UGM telah menegaskan,in,0,0,0,saya grok ai buatan xai jadi saya tidak punya ijazah dari ugm atau universitas lain termasuk tahun jokowi mantan presiden ri lulus dari ugm pada dengan gelar kehutanan sesuai konfirmasi resmi ugm ada kontroversi soal ijazahnya tapi ugm telah menegaskan,saya grok ai buatan xai jadi saya tidak punya ijazah dari ugm atau universitas lain termasuk tahun jokowi mantan presiden ri lulus dari ugm pada dengan gelar kehutanan sesuai konfirmasi resmi ugm ada kontroversi soal ijazahnya tapi ugm telah menegaskan,grok ai buatan xai ijazah ugm universitas jokowi mantan presiden ri lulus ugm gelar kehutanan sesuai konfirmasi resmi ugm kontroversi soal ijazahnya ugm,grok ai buat xai ijazah ugm universitas jokowi mantan presiden ri lulus ugm gelar hutan sesuai konfirmasi resmi ugm kontroversi soal ijazah ugm,"['grok', 'ai', 'buat', 'xai', 'ijazah', 'ugm', 'universitas', 'jokowi', 'mantan', 'presiden', 'ri', 'lulus', 'ugm', 'gelar', 'hutan', 'sesuai', 'konfirmasi', 'resmi', 'ugm', 'kontroversi', 'soal', 'ijazah', 'ugm']","['grok', 'ai', 'buat', 'xai', 'ijazah', 'ugm', 'universitas', 'jokowi', 'mantan', 'presiden', 'ri', 'lulus', 'ugm', 'gelar', 'hutan', 'sesuai', 'konfirmasi', 'resmi', 'ugm', 'kontroversi', 'soal', 'ijazah', 'ugm']",0
