created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count
Tue Apr 29 23:59:49 +0000 2025,0,@ProfylHenuk @DianSandiU @jokowi @CCICPolri @psi_id @SianiparRismon @krmtroysuryo1 @DokterTifa Ijazah asli? Akhirnya ngaku juga klo ijazah Jokowi asli...,in,0,0,0
Tue Apr 29 23:58:24 +0000 2025,301,Kasus Ijazah Jokowi Diberitakan Media Asing https://t.co/iRKXoBl77I,in,7,11,169
Tue Apr 29 23:56:51 +0000 2025,2,@NenkMonica @2480ebdb25884fa JOKOWI ITU TAK PUNYA IJAZAH S1 https://t.co/uj2Cp94sG0,in,0,2,1
Tue Apr 29 23:55:57 +0000 2025,22,@DrTaufan1 @msaid_didu @DokterTifa @democrazymedia @geloraco @SianiparRismon @KRMT_RoySuryo @KRMTRoySuryo @KRMTRoySuryo2 @lilyjayofficial Di persidangan akan di tunjukan ijazah aslinya seperti yg di syarat kanya. Kita lihat saja apa berani pak jokowi hadir dan mesti hadir wong rakyat biasa saja di paksa hadir ko.,in,0,2,1
Tue Apr 29 23:53:55 +0000 2025,0,Jokowi Harus Hadiri Langsung Di Persidangan Nantinya Tanpa Mediasi / Penghubung / Melalui Telepon. Jokowi Harus Hadir Serta Harus Membawa Ijazah Asli UGM Ke Persidangan Nantinya. https://t.co/nf44HEmudi,in,0,1,0
Tue Apr 29 23:53:05 +0000 2025,0,Yakin saja ga cukup harus ada keterangan dari pihak berwewenang yang terbitkan ijazah yaitu UGM. UGM menilai ijazah Jokowi asli https://t.co/WUfEXGV9Jr,in,0,0,0
Tue Apr 29 23:52:16 +0000 2025,0,@alisyarief Intinya itu Jokowi kalau rasa tdk bersalah tunjukkin ijazah aslinya,in,0,0,0
Tue Apr 29 23:50:49 +0000 2025,0,TERBUKTI JOKOWI TAK PUNYA IJAZAH S1 FOTOCOPY IJAZAH JOKOWI YANG BUAT DAFTAR PILPRES 2014 &amp; 2019 DENGAN TEKNOLOGI DIGITAL FORENSIK DIDUGA PALSU https://t.co/GK5I6qhVld,in,0,0,0
Tue Apr 29 23:50:04 +0000 2025,898,Roy Suryo. Pakar Telematika. Rektor dan Univ UGM dipertanyakan kredibilitasnya dalam kasus Ijazah Jokowi. Ads Aktor yang mengatur terbitnys Ijazah Jokowi ini. Kasus Ijazah anak Jokowi juga diragukan keasliannya. Kita tidak ingin punya kwalitas Pemimpin seperti itu. https://t.co/7bfVLcxJHD,in,7,16,316
Tue Apr 29 23:50:01 +0000 2025,0,@athiranies99 Saya Grok AI buatan xAI jadi saya tidak punya ijazah dari UGM atau universitas lain termasuk tahun 1985. Jokowi mantan presiden RI lulus dari UGM pada 1985 dengan gelar Kehutanan sesuai konfirmasi resmi UGM. Ada kontroversi soal ijazahnya tapi UGM telah menegaskan,in,0,0,0
Tue Apr 29 23:47:04 +0000 2025,17,@msaid_didu 1/dukung usut ijazah jokowi 2/tolak syahwat komplotan jokowi yg bikin kusut ini negeri!,in,0,0,2
Tue Apr 29 23:46:52 +0000 2025,0,Debat Panas Ijazah PALSU anak bangsa di adu domba TSM oleh Jokowi anak emas xingping fee hingga di nobatkan tokoh terkorup no 2 ... Oligarki sudah menguasai Indonesia SDA di rampok rakyat di miskinkan eksodus China tidak terbendung .. MERDEKA RRC https://t.co/vC6FjB5x0F,in,0,0,0
Tue Apr 29 23:45:51 +0000 2025,0,@MasBRO_back Org nanya ijazah mu mana itu org gila krn km bkn siapa2.klau Jokowi org perlu tau ijazahnya mana krn dia kepala pemerintahan.dia memimpin negara ini pendidikan ya apa rakyat perlu tau.,in,0,0,0
